name,price,url
Greenwich,$44.95,https://www.glassesshop.com/eyeglasses/ft0487
Owensboro,$12.95,https://www.glassesshop.com/eyeglasses/fp2195
Bray,$12.95,https://www.glassesshop.com/eyeglasses/fp1922
Pete,$29.95,https://www.glassesshop.com/eyeglasses/fz1208
Fitchburg,$24.95,https://www.glassesshop.com/eyeglasses/fp2384
Hudson,$12.95,https://www.glassesshop.com/eyeglasses/fp1785
Genevieve,$34.95,https://www.glassesshop.com/eyeglasses/fz1270
Hyannis,$19.95,https://www.glassesshop.com/eyeglasses/fp1111
Luther,$19.95,https://www.glassesshop.com/eyeglasses/sm0854
Catherine,$24.95,https://www.glassesshop.com/eyeglasses/fm1509
Page,$29.95,https://www.glassesshop.com/eyeglasses/fp2524
Jill,$19.95,https://www.glassesshop.com/eyeglasses/fp2506
Althea,$19.95,https://www.glassesshop.com/eyeglasses/fp2111
Rolando,$29.95,https://www.glassesshop.com/eyeglasses/sup0887
Carrie,$24.95,https://www.glassesshop.com/eyeglasses/fm1252
Sid,$34.95,https://www.glassesshop.com/eyeglasses/sup0510
Vogt,$29.95,https://www.glassesshop.com/eyeglasses/fz1320?package=1
Prairie,$34.95,https://www.glassesshop.com/eyeglasses/fz1461?package=1
Buckeye,$9.95,https://www.glassesshop.com/eyeglasses/fz1093?package=1
Mandy,$12.95,https://www.glassesshop.com/eyeglasses/fz1087?package=1
Verna,$12.95,https://www.glassesshop.com/eyeglasses/fm1581?page=2
Eunice,$19.95,https://www.glassesshop.com/eyeglasses/fz1610?page=2
Derrick,$24.95,https://www.glassesshop.com/eyeglasses/fp1661?package=1
Sagittarius,$19.95,https://www.glassesshop.com/eyeglasses/fm1439?page=2
Aquarius,$19.95,https://www.glassesshop.com/eyeglasses/fm1448?page=2
Leona,$19.95,https://www.glassesshop.com/eyeglasses/fm1605?page=2
Poppy,$29.95,https://www.glassesshop.com/eyeglasses/fz1032?package=1&page=2
Hartford,$24.95,https://www.glassesshop.com/eyeglasses/fp2077?package=1&page=2
Annabelle,$24.95,https://www.glassesshop.com/eyeglasses/fp2086?package=1&page=2
Heather,$29.95,https://www.glassesshop.com/eyeglasses/fp1704?package=1&page=2
Kissimmee,$2.99,https://www.glassesshop.com/eyeglasses/fz1559
Tallahassee,$24.95,https://www.glassesshop.com/eyeglasses/fp2502
Orlando,$5.95,https://www.glassesshop.com/eyeglasses/fp2269
Grace,$29.95,https://www.glassesshop.com/eyeglasses/fz1592
Stephen,$12.95,https://www.glassesshop.com/eyeglasses/sm0897
Labrador,$12.95,https://www.glassesshop.com/eyeglasses/fp1988
Belle,$19.95,https://www.glassesshop.com/eyeglasses/fp1768
Payne,$29.95,https://www.glassesshop.com/eyeglasses/fm1297
Defender,$19.95,https://www.glassesshop.com/eyeglasses/fp2308?page=3
Chapman,$29.95,https://www.glassesshop.com/eyeglasses/ft0442?page=3
Bloomington,$19.95,https://www.glassesshop.com/eyeglasses/fz1695?page=3
Kelly,$19.95,https://www.glassesshop.com/eyeglasses/fm1542?page=3
Hermosa,$29.95,https://www.glassesshop.com/eyeglasses/st0249?page=3
Pueblo,$19.95,https://www.glassesshop.com/eyeglasses/sup0966?page=3
Kensee,$29.95,https://www.glassesshop.com/eyeglasses/ft0462?page=3
Rosalind,$19.95,https://www.glassesshop.com/eyeglasses/fm1549?page=3
Audrey,$0.99,https://www.glassesshop.com/eyeglasses/fp2100?package=1&page=3
Bblythe,$19.95,https://www.glassesshop.com/eyeglasses/ft0426?page=3
Springfield,$24.95,https://www.glassesshop.com/eyeglasses/fm1408
Mason,$19.95,https://www.glassesshop.com/eyeglasses/fp1641
Horace,$29.95,https://www.glassesshop.com/eyeglasses/fz0781
Olga,$34.95,https://www.glassesshop.com/eyeglasses/fp1721
Wheaton,$29.95,https://www.glassesshop.com/eyeglasses/ft0393?page=4
Catherine,$24.95,https://www.glassesshop.com/eyeglasses/fm1509?page=4
Nelly,$19.95,https://www.glassesshop.com/eyeglasses/sup0695?page=4
Janet,$12.95,https://www.glassesshop.com/eyeglasses/ft0431?page=4
Ivy,$19.95,https://www.glassesshop.com/eyeglasses/sup0740?page=4
Alston,$29.95,https://www.glassesshop.com/eyeglasses/ft0438?page=4
Pascagoula,$19.95,https://www.glassesshop.com/eyeglasses/sup1032?page=4
Oklahoma,$29.95,https://www.glassesshop.com/eyeglasses/fz1582?page=4
AnnArbor,$14.98,https://www.glassesshop.com/eyeglasses/rm0310
Iowa,$29.95,https://www.glassesshop.com/eyeglasses/fz1015
Wilcox,$24.95,https://www.glassesshop.com/eyeglasses/fp2496
Thomasville,$24.95,https://www.glassesshop.com/eyeglasses/fp1564
Ludington,$29.95,https://www.glassesshop.com/eyeglasses/ft0455
Simona,$24.95,https://www.glassesshop.com/eyeglasses/fp2166
Alturas,$29.95,https://www.glassesshop.com/eyeglasses/fm1417
Alvin,$54.95,https://www.glassesshop.com/eyeglasses/ft0558
Equality,$29.95,https://www.glassesshop.com/eyeglasses/fz1748
Solana,$9.95,https://www.glassesshop.com/eyeglasses/fz1538
Bowen,$29.95,https://www.glassesshop.com/eyeglasses/sm0901
Kansas,$29.95,https://www.glassesshop.com/eyeglasses/fz1635
Altoona,$14.98,https://www.glassesshop.com/eyeglasses/fz1914
Brady,$8.99,https://www.glassesshop.com/eyeglasses/fz1769
Fredas,$29.95,https://www.glassesshop.com/eyeglasses/sm0887
Glenview,$49.95,https://www.glassesshop.com/eyeglasses/ft0363
Smith,$29.95,https://www.glassesshop.com/eyeglasses/fm1419
Peak,$29.95,https://www.glassesshop.com/eyeglasses/fz1636
Benjamin,$29.95,https://www.glassesshop.com/eyeglasses/fm1465
Gladys,$12.95,https://www.glassesshop.com/eyeglasses/fp2188
Hempstead,$19.95,https://www.glassesshop.com/eyeglasses/fp1808
Torrance,$24.95,https://www.glassesshop.com/eyeglasses/fm1667
Cornelia,$24.95,https://www.glassesshop.com/eyeglasses/fp2344
Dinas,$12.95,https://www.glassesshop.com/eyeglasses/fp1946
Bainbridge,$19.95,https://www.glassesshop.com/eyeglasses/fp2186
Lisa,$19.95,https://www.glassesshop.com/eyeglasses/fp2433
