product_category,product_name,product_price
Women's Eyeglasses,Joplin,$24.95
Clearance Sale,Nancy,$19.95
Buy One Get One Free,Jean,$24.95
Glitter Eyeglasses,Catherine,$24.95
Buy One Get One Free,Butler,$19.95
Glitter Eyeglasses,Ivy,$19.95
Blue Light Blocking Glasses,Hannah,$24.95
Glitter Eyeglasses,Candice,$24.95
Glitter Eyeglasses,Bess,$49.95
Accessories,Case Gray B3,$3.95
Accessories,Chain_LZ11,$3.95
Women's Eyeglasses,Trenton,$19.95
Blue block pro,Pensacola,$34.95
screwless eyeglasses,Wythe,$24.95
Women's Eyeglasses,Joyce,$9.95
Women's Eyeglasses,Yonkers,$12.95
Women's Eyeglasses,Platteville,$19.95
Women's Eyeglasses,Tower,$19.95
Women's Eyeglasses,Miranda,$19.95
Women's Eyeglasses,Rochester,$29.95
Women's Eyeglasses,Kelowna,$19.95
Women's Eyeglasses,BowlingGreen,$29.95
Women's Eyeglasses,Osborn,$34.95
Blue block pro,Grace,$29.95
Blue block pro,Kissimmee,$2.99
Women's Eyeglasses,Angel,$19.95
Blue Light Blocking Glasses,Heather,$29.95
Women's Eyeglasses,Lisa,$19.95
Women's Eyeglasses,Cornelia,$24.95
Blue block pro,Stephen,$12.95
Women's Eyeglasses,Knoxville,$45.95
Blue block pro,Orlando,$12.95
Women's Eyeglasses,Gladys,$12.95
Women's Eyeglasses,Torrance,$24.95
Women's Eyeglasses,Dinas,$12.95
Women's Eyeglasses,Goodland,$9.95
Blue block pro,Horace,$29.95
Women's Eyeglasses,Bainbridge,$19.95
Women's Eyeglasses,Elma,$29.95
Blue block pro,Mason,$29.95
Blue block pro,Springfield,$24.95
Women's Eyeglasses,Bristol,$45.95
Blue block pro,Olga,$34.95
Women's Eyeglasses,Esther,$29.95
Blue Light Blocking Glasses,Burbank,$8.99
Women's Eyeglasses,Ardmore,$29.95
Women's Eyeglasses,Atlanta,$29.95
Blue block pro,Simona,$24.95
Women's Eyeglasses,Kitchener,$29.95
Women's Eyeglasses,Christine,$89.00
Women's Eyeglasses,Theresa,$24.95
Women's Eyeglasses,Chico,$19.95
Blue block pro,Alvin,$54.95
Blue block pro,Equality,$29.95
Blue block pro,Alturas,$29.95
Women's Eyeglasses,Jefferson,$2.99
Blue block pro,Solana,$9.95
Blue block pro,Kansas,$29.95
Women's Eyeglasses,Malcolm,$9.95
Blue block pro,Esther,$29.95
Blue block pro,Ardmore,$29.95
Women's Eyeglasses,Steven,$34.95
Blue Light Blocking Glasses,Dana,$19.95
Blue Light Blocking Glasses,Winchester,$9.95
Women's Eyeglasses,Saxton,$89.00
Blue block pro,Darcy,$19.95
Women's Eyeglasses,Betty,$29.95
Women's Eyeglasses,Astoria,$69.00
Women's Eyeglasses,Capricorn,$79.00
Women's Eyeglasses,Jodian,$34.95
Blue block pro,Syracuse,$19.95
Women's Eyeglasses,Mildred,$19.95
Women's Eyeglasses,Cynthia,$34.95
Women's Eyeglasses,Alexia,$39.95
Blue Light Blocking Glasses,Newport,$45.95
Women's Eyeglasses,Julia,$24.95
Blue block pro,Hattiesburg,$24.95
Blue Light Blocking Glasses,Pitta,$29.95
